,지번주소,도로명,건물(단지)명,전용면적(㎡),거래금액(만원),층,건축년도,계약날짜기준_건물연식,계약날짜,단가(만원/㎡),건물연식,부동산유형,소유자
2141,서울특별시 강남구 역삼동 751-6,역삼로11길 18,역삼에르스떼,26.45,49100,4,2019.0,0.0,2019-12-06,1856.3327032136103,2.0,연립다세대,LH
2142,서울특별시 강남구 역삼동 751-6,역삼로11길 18,역삼에르스떼,26.45,48350,2,2019.0,0.0,2019-12-06,1827.9773156899807,2.0,연립다세대,LH
2143,서울특별시 강남구 역삼동 751-6,역삼로11길 18,역삼에르스떼,26.45,49100,3,2019.0,0.0,2019-12-06,1856.3327032136103,2.0,연립다세대,LH
2144,서울특별시 강남구 역삼동 751-6,역삼로11길 18,역삼에르스떼,26.45,49100,5,2019.0,0.0,2019-12-06,1856.3327032136103,2.0,연립다세대,LH
2145,서울특별시 강남구 역삼동 751-6,역삼로11길 18,역삼에르스떼,26.45,48850,6,2019.0,0.0,2019-12-06,1846.8809073724008,2.0,연립다세대,LH
2146,서울특별시 강남구 역삼동 751-6,역삼로11길 18,역삼에르스떼,27.25,49100,5,2019.0,0.0,2019-12-06,1801.834862385321,2.0,연립다세대,LH
2147,서울특별시 강남구 역삼동 751-6,역삼로11길 18,역삼에르스떼,27.25,49100,3,2019.0,0.0,2019-12-06,1801.834862385321,2.0,연립다세대,LH
2148,서울특별시 강남구 역삼동 751-6,역삼로11길 18,역삼에르스떼,27.25,49100,4,2019.0,0.0,2019-12-06,1801.834862385321,2.0,연립다세대,LH
2149,서울특별시 강남구 역삼동 751-6,역삼로11길 18,역삼에르스떼,27.25,49850,6,2019.0,0.0,2019-12-06,1829.3577981651376,2.0,연립다세대,LH
2150,서울특별시 강남구 역삼동 751-6,역삼로11길 18,역삼에르스떼,27.25,48350,2,2019.0,0.0,2019-12-06,1774.3119266055046,2.0,연립다세대,LH
2151,서울특별시 강남구 역삼동 751-6,역삼로11길 18,역삼에르스떼,27.5,49500,4,2019.0,0.0,2019-12-06,1800.0,2.0,연립다세대,LH
2152,서울특별시 강남구 역삼동 751-6,역삼로11길 18,역삼에르스떼,27.5,48750,2,2019.0,0.0,2019-12-06,1772.7272727272727,2.0,연립다세대,LH
2153,서울특별시 강남구 역삼동 751-6,역삼로11길 18,역삼에르스떼,27.5,49500,3,2019.0,0.0,2019-12-06,1800.0,2.0,연립다세대,LH
